skills_match,projects,internships,certifications,github,resume_score,hired
71,1,0,3,1,62,0
67,5,1,5,1,80,1
82,6,1,5,1,78,1
58,6,0,3,0,54,0
78,3,1,1,1,59,0
53,3,3,4,0,53,0
85,2,3,5,0,81,1
38,6,4,0,1,79,0
46,1,4,4,0,73,0
58,0,2,3,0,88,0
31,0,4,3,1,87,0
45,3,1,5,1,95,0
37,4,0,3,0,65,0
98,1,4,2,1,66,0
84,5,2,4,0,58,0
48,6,3,0,1,63,0
80,1,3,2,0,97,1
49,6,2,3,0,43,0
97,1,4,5,0,82,1
64,3,0,5,1,97,0
70,5,3,3,1,45,0
61,6,2,5,0,99,0
54,4,3,3,1,54,0
53,3,4,3,0,45,0
65,0,0,1,1,52,0
38,2,0,3,1,43,0
57,1,3,3,0,49,0
79,3,3,2,0,92,1
52,3,0,5,1,90,0
55,2,0,1,1,92,0
61,3,3,3,1,95,0
61,3,2,0,0,86,0
75,6,0,4,0,71,1
39,3,2,4,1,76,0
86,4,2,3,1,68,0
41,4,1,3,0,80,0
49,2,1,2,0,57,0
63,3,3,1,1,73,0
59,6,3,1,0,82,0
90,3,2,3,0,75,1
97,3,2,5,1,95,1
59,1,3,5,0,58,0
49,6,0,1,1,98,0
88,0,1,4,0,84,0
91,3,0,2,0,85,1
63,6,4,3,1,88,0
67,6,2,2,0,82,1
93,0,2,2,1,58,0
89,1,0,4,0,64,0
43,0,0,3,0,51,0
33,4,1,2,0,76,0
55,3,3,4,0,58,0
68,6,1,3,0,93,1
76,2,0,3,1,79,0
64,3,2,2,0,66,0
88,3,3,4,0,86,1
59,3,1,3,1,83,0
43,6,2,2,1,65,0
55,3,1,1,1,40,0
93,1,1,3,1,42,0
45,2,1,5,1,70,0
32,6,4,2,1,78,0
58,6,4,0,1,65,0
77,3,0,2,0,53,0
44,0,2,2,1,77,0
61,1,2,3,1,50,0
52,6,3,1,1,50,0
49,5,1,0,0,50,0
46,2,3,0,0,59,0
64,4,0,4,1,59,0
49,4,2,5,0,74,0
43,6,3,3,1,88,0
63,4,2,3,0,67,0
96,2,2,0,1,55,0
82,2,2,4,1,42,0
76,2,2,0,0,85,1
70,0,0,5,0,74,0
89,4,0,0,1,49,0
43,6,1,0,0,52,0
81,0,1,4,1,99,0
77,6,0,4,0,53,0
86,1,2,5,1,52,0
56,1,3,2,0,49,0
39,3,1,1,0,61,0
39,6,2,2,1,41,0
89,4,1,4,1,56,0
78,1,3,0,0,46,0
86,3,2,3,1,77,1
92,2,3,2,0,99,1
56,2,0,0,1,64,0
34,2,4,0,1,83,0
88,5,4,2,0,65,0
72,4,2,5,0,71,1
68,3,1,3,1,99,1
68,2,2,5,0,54,0
45,3,1,3,1,98,0
47,3,2,5,1,73,0
55,1,4,5,0,78,0
89,6,0,5,0,59,0
86,4,1,4,0,45,0
55,0,0,0,0,43,0
84,5,3,0,1,43,0
70,1,1,4,0,97,0
84,2,4,3,0,85,1
51,2,3,0,0,44,0
86,6,3,0,1,78,1
100,3,3,5,0,59,0
44,6,4,4,0,43,0
80,1,3,5,1,72,1
30,3,0,3,1,98,0
67,0,4,2,1,89,1
75,4,2,3,0,45,0
31,0,3,1,1,100,0
68,2,1,3,1,62,0
94,4,1,3,1,99,1
99,1,0,1,0,81,0
72,0,2,3,0,86,0
44,4,1,1,0,72,0
76,6,3,3,1,93,1
97,4,2,5,1,61,0
81,2,0,0,0,75,0
52,1,3,4,1,54,0
91,0,3,3,1,99,1
64,6,0,1,0,44,0
64,3,0,5,0,76,0
94,1,1,1,0,75,0
99,3,4,5,0,94,1
42,5,2,3,1,50,0
57,3,1,3,0,55,0
97,2,3,3,1,65,0
43,4,0,5,0,73,0
61,4,1,0,1,45,0
88,0,4,4,0,52,0
43,6,2,4,0,97,0
66,5,1,0,1,50,0
84,3,0,5,1,72,1
97,4,2,0,0,58,0
37,1,1,0,0,42,0
94,4,1,1,1,53,0
31,5,3,2,1,86,0
76,4,2,4,1,45,0
63,3,3,2,0,71,0
87,0,1,2,1,68,0
66,5,4,5,0,95,1
43,4,3,2,0,42,0
88,5,0,1,1,61,0
34,1,3,4,1,96,0
50,3,4,0,1,64,0
73,3,3,4,0,62,0
47,3,1,1,1,89,0
30,4,1,0,1,94,0
68,5,0,4,0,67,0
38,0,3,4,0,72,0
58,2,0,5,0,63,0
69,5,2,2,0,59,0
71,0,0,1,1,66,0
51,4,2,0,0,55,0
75,0,3,3,0,65,0
52,0,0,1,1,67,0
97,4,3,3,0,85,1
59,1,4,0,1,47,0
54,3,0,0,1,54,0
94,0,1,4,0,76,0
56,5,0,3,0,97,0
90,6,0,1,0,70,0
88,5,0,0,0,79,1
98,6,0,1,1,42,0
96,5,4,2,0,50,0
62,4,4,4,1,92,0
98,0,2,3,0,57,0
38,2,0,1,0,81,0
56,4,0,3,0,47,0
74,3,3,4,0,100,1
98,5,4,4,1,63,0
72,5,0,3,0,75,1
80,1,0,2,0,46,0
35,3,1,3,0,80,0
80,1,3,5,0,89,1
95,2,4,2,0,65,0
83,2,1,3,0,46,0
63,5,1,5,0,48,0
70,2,1,4,0,71,1
74,3,1,4,1,68,0
37,1,0,4,1,43,0
37,5,3,1,0,81,0
81,5,0,0,0,79,1
78,5,3,3,0,70,0
61,5,0,0,1,40,0
54,1,3,1,0,92,0
54,4,1,0,1,59,0
40,2,0,0,1,44,0
49,6,0,2,1,42,0
42,3,0,1,0,52,0
57,6,2,4,1,44,0
73,4,4,4,1,74,1
53,3,2,1,0,52,0
78,0,2,2,1,77,0
54,0,2,4,1,47,0
37,6,4,4,0,45,0
87,6,3,2,1,41,0
97,1,2,2,0,73,1
51,2,2,5,0,60,0
79,0,1,1,1,43,0
38,0,1,2,1,86,0
46,2,2,0,0,65,0
94,3,3,3,1,99,1
89,4,0,2,0,99,1
42,3,2,3,0,49,0
51,5,0,1,0,56,0
35,3,1,4,0,58,0
70,3,4,2,1,62,0
71,5,2,2,1,86,1
39,3,4,0,0,75,0
37,2,4,1,0,51,0
55,2,1,3,0,93,0
65,5,1,5,0,71,0
90,6,0,5,0,72,1
73,1,0,0,1,95,0
84,3,4,2,1,88,1
69,4,2,1,0,62,0
60,0,0,0,1,52,0
43,3,4,5,0,40,0
61,3,2,3,1,61,0
35,5,1,1,0,59,0
63,2,3,0,1,79,0
87,6,3,2,1,72,1
81,2,3,4,1,78,1
83,2,0,0,0,52,0
98,2,4,0,1,53,0
73,6,0,4,1,63,0
55,2,3,5,1,40,0
88,3,2,2,1,75,1
95,3,0,5,0,45,0
39,0,3,2,0,51,0
66,0,3,3,1,54,0
85,2,3,2,1,95,1
55,6,1,1,1,100,0
70,3,0,3,1,92,1
54,6,3,3,0,90,0
32,1,4,1,0,93,0
70,6,1,0,1,69,0
87,3,1,2,0,97,1
41,0,2,4,1,87,0
42,4,2,0,1,82,0
75,4,4,0,0,74,1
85,3,3,1,0,89,1
81,2,0,5,0,83,0
89,2,0,0,1,67,0
81,5,2,5,1,62,0
96,6,4,5,0,82,1
85,6,0,3,1,65,0
84,4,4,4,0,82,1
61,0,1,2,1,55,0
32,6,2,3,0,74,0
88,1,0,0,1,49,0
38,3,4,5,1,67,0
82,3,2,1,1,46,0
81,6,1,5,1,76,1
99,6,1,1,0,41,0
90,6,1,4,0,45,0
47,0,0,2,0,62,0
83,1,4,3,0,46,0
70,2,0,5,1,76,0
36,1,4,0,0,50,0
59,3,3,1,1,49,0
85,3,3,4,1,99,1
100,0,0,2,0,93,0
31,6,2,3,0,91,0
35,1,4,4,1,90,0
43,4,4,4,1,100,0
59,4,0,3,0,78,0
76,3,4,4,0,86,1
96,4,1,3,1,57,0
45,0,2,4,0,77,0
66,0,4,4,0,43,0
44,2,0,2,0,73,0
44,2,4,4,1,92,0
100,0,1,2,1,65,0
75,1,1,2,0,92,0
30,2,1,4,1,96,0
84,4,4,3,0,73,1
78,1,4,5,0,92,1
80,4,0,4,1,64,0
88,2,2,2,1,85,1
86,6,1,3,1,61,0
79,2,3,2,1,52,0
68,3,3,3,1,100,1
